Name,Team,POS,IP,K,BB,H,ER,HR,ERA,WHIP,SV,HLD,W,L
Joey Cantillo,CLE,RP,95.1,108,42,78,34,10,3.21,1.26,1,1,5,3
J.T. Ginn,ATH,RP,90.1,99,31,91,51,17,5.08,1.35,0,1,4,7
Colton Gordon,HOU,RP,86.0,72,19,103,51,21,5.34,1.42,1,0,6,4
Jason Alexander,HOU,RP,77.1,65,26,80,41,15,4.77,1.37,1,0,4,2
Hayden Birdsong,SF,RP,65.2,68,37,61,35,10,4.80,1.49,0,3,4,4
Ryan Yarbrough,NYY,RP,64.0,55,19,58,31,13,4.36,1.20,1,0,3,1
Yoendrys Gomez,TB,RP,62.2,58,27,60,36,12,5.17,1.39,1,0,3,3
Sean Manaea,NYM,RP,60.2,75,12,62,38,13,5.64,1.22,0,0,2,4
Joe Boyle,TB,RP,52.0,58,28,42,27,6,4.67,1.35,0,0,1,4
Tobias Myers,NYM,RP,50.2,38,15,54,20,5,3.55,1.36,0,1,1,2
Jackson Jobe,DET,RP,49.0,39,27,46,23,7,4.22,1.49,0,0,4,1
Troy Melton,DET,RP,45.2,36,15,31,14,7,2.76,1.01,0,4,3,2
Kyle Hart,SD,RP,43.0,37,13,38,28,9,5.86,1.19,0,2,3,3
Jack Perkins,ATH,RP,38.2,37,18,27,18,4,4.19,1.16,3,1,3,2
DL Hall,MIL,RP,38.2,27,17,24,15,2,3.49,1.06,0,1,1,0
Anthony DeSclafani,FA,RP,38.2,36,12,37,22,11,5.12,1.27,2,1,1,2
Kyle Harrison,MIL,RP,35.2,38,14,35,16,4,4.04,1.37,0,1,1,1
Nabil Crismatt,TEX,RP,34.0,25,9,40,14,6,3.71,1.44,0,0,3,0
AJ Blubaugh,HOU,RP,32.0,35,11,17,6,6,1.69,0.88,0,0,3,1
Brandon Waddell,NYM,RP,31.1,22,11,29,12,4,3.45,1.28,0,1,0,0
