Name,Salary
Zack Wheeler,42000000
Jacob deGrom,40100000
Tyler Glasnow,32500000
Corbin Burnes,30833333
Blake Snell,28436867
Carlos Rodon,27833333
Sonny Gray,25000000
Jack Flaherty,25000000
Robbie Ray,25000000
Nestor Cortes,24999743
Aaron Nola,24571428
Luis Castillo,24150000
Jordan Romano,23785734
Michael Soroka,23531461
Shota Imanaga,23250000
Kevin Gausman,23000000
Devin Williams,22845213
Luke Jackson,22836417
Nathan Eovaldi,22100000
Chris Sale,22000000
Erick Fedde,21335583
Yusei Kikuchi,21225000
Nick Martinez,21050000
Chris Bassitt,21000000
Brady Singer,20565481
Sean Manaea,20212526
Eduardo Rodriguez,20000000
Luis Severino,20000000
Walker Buehler,19508333
Logan Gilbert,19501256
Ryne Stanek,19253886
Josh Hader,19075000
Aaron Civale,19047930
Lucas Giolito,19000000
Jose Berrios,19000000
Ranger Suarez,18875770
Brad Keller,18365535
Yoshinobu Yamamoto,18333333
Ryan Yarbrough,18304674
Framber Valdez,18000000
Jameson Taillon,18000000
Michael Wacha,18000000
Taijuan Walker,18000000
Scott Barlow,17755006
Jesus Luzardo,17696902
Chris Paddack,17529047
Seranthony Dominguez,17316493
Sandy Alcantara,17300000
Frankie Montas,17000000
Ryan Helsley,16840838
Tony Gonsolin,16595154
Tyler Mahle,16500000
Jose Urena,16479735
Paul Skenes,16228346
Luke Weaver,16206018
Gregory Soto,16100616
Adrian Morejon,16055272
Tarik Skubal,16014656
Raisel Iglesias,16000000
Clayton Kershaw,16000000
Kyle Freeland,16000000
Miles Mikolas,16000000
Max Scherzer,15500000
Mitch Keller,15411500
Justin Verlander,15000000
Kodai Senga,15000000
Seth Lugo,15000000
Phil Maton,14933772
Brent Suter,14716140
Max Fried,14500000
Pete Fairbanks,14174450
German Marquez,14000000
Adrian Houser,13895839
Dylan Cease,13750000
Zac Gallen,13500000
Kirby Yates,13050000
Robert Suarez,13000000
Clay Holmes,13000000
Charlie Morton,13000000
Tomoyuki Sugano,13000000
Tyler Anderson,13000000
Eric Lauer,12963699
David Bednar,12874480
Casey Mize,12833330
Tanner Scott,12824193
MacKenzie Gore,12755198
Lou Trivino,12355217
Paul Blackburn,12188886
Colin Rea,12142619
Edwin Diaz,12050000
Logan Webb,12000000
Antonio Senzatela,12000000
Jason Adam,11939378
George Kirby,11797962
David Peterson,11775282
Tyler Rogers,11756123
Caleb Thielbar,11458182
Garrett Crochet,11198650
Kyle Finnegan,11142003
Aroldis Chapman,10750000
Matthew Boyd,10500000
Jeffrey Springs,10500000
Kris Bubic,10449876
Cristian Javier,10400000
Nick Lodolo,10103984
Carlos Estevez,10100000
Brandon Woodruff,10000000
Kenley Jansen,10000000
Patrick Corbin,10000000
Zack Littell,9844943
Tyler Kinley,9670418
Chase Burns,9646344
Tanner Houck,9557586
Trevor Rogers,9166010
Jack Leiter,9086767
Reid Detmers,9009439
Danny Coulombe,8987878
Max Meyer,8835682
Dustin May,8827519
Caleb Ferguson,8760006
Tyler Alexander,8530101
Rafael Montero,8515218
Steven Matz,8467742
Hoby Milner,8222518
Emilio Pagan,8200000
Jeff Hoffman,8166666
Freddy Peralta,8100000
Shawn Armstrong,7905921
Tommy Kahnle,7750000
Jackson Jobe,7680790
Shane Baz,7586285
Bryan Abreu,7541000
Ryan Weathers,7530840
Matt Strahm,7500000
Kolby Allard,7433578
Bailey Ober,7302686
Camilo Doval,7286718
Jordan Hicks,7274193
Roki Sasaki,7260000
Jhoan Duran,7212406
Pierce Johnson,7000000
Yariel Rodriguez,7000000
Trevor Williams,7000000
Ryan Thompson,6910902
Kyle Bradish,6909746
Ryan Borucki,6745566
Emerson Hancock,6689680
Jose Quintana,6650000
Joey Lucchesi,6633352
Jalen Beeks,6555626
Michael Lorenzen,6500000
Luis Garcia,6458250
Joe Ryan,6374952
Hunter Greene,6333333
Chase Dollander,6293029
Dean Kremer,6232461
Taylor Clarke,6066892
Trent Thornton,6050185
Taylor Rogers,6000000
