Name,Team
Mason Miller,ATH/SDP
Jhoan Duran,MIN/PHI
David Bednar,PIT/NYY
Griffin Jax,MIN/TBR
Phil Maton,STL/TEX
Brock Stewart,MIN/LAD
Tyler Rogers,SFG/NYM
Andrew Kittredge,BAL/CHC
Rico Garcia,NYM/BAL
Louie Varland,MIN/TOR
Sean Newcomb,ATH/BOS
Matt Gage,HOU
Bryan Baker,BAL
Dietrich Enns,TBR
Shelby Miller,MIL/ARI
Gregory Soto,BAL/NYM
Steven Matz,BOS
Merrill Kelly,ARI/TEX
Kyle Finnegan,WSN
Danny Coulombe,MIN/TEX
Caleb Ferguson,KCR/NYM
Kyle Harrison,SFG
Adrian Houser,CHW/TBR
Ryan Helsley,STL
Seranthony Dominguez,PHI
Zack Littell,TBR
Jake Bird,COL/NYY
Andrew Chafin,DET
Michael Soroka,CHC
Shawn Dubin,HOU
Tyler Kinley,COL
Jose Castillo,SDP
Enyel De Los Santos,CLE
JP Sears,ATH/SDP
Tyler Alexander,TBR
Paul Blackburn,ATH
Taj Bradley,TBR/MIN
Stephen Kolek,SEA
Camilo Doval,SFG/NYY
Luis Garcia,HOU
Taylor Rogers,SFG
Ryan Gusto,HOU/MIA
Lou Trivino,SFG/LAD/PHI
Joey Wentz,DET
Jose Butto,NYM/SFG
Aaron Civale,TBR
Jorge Alcala,MIN
Charlie Morton,ATL
Dustin May,LAD
Jason Alexander,MIL
Chris Paddack,MIN/SDP
Mick Abel,PHI
Ryan Borucki,SEA
Jordan Hicks,BOS
Yoendrys Gomez,NYY
Carlos Hernandez,KCR
Cal Quantrill,COL
Genesis Cabrera,STL
Rafael Montero,HOU
Carlos Carrasco,CLE
Walker Buehler,LAD
Bailey Falter,PIT
Andrew Heaney,TEX
Scott Blewett,KCR
Thomas Hatch,TOR
Jose Urena,TEX
Luke Jackson,ATL
Erick Fedde,CHW
Nestor Cortes,SDP
